"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for birthing friendly designation","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
220001,"UMASS MEMORIAL HEALTHALLIANCE HOSPITALS","60 HOSPITAL ROAD",LEOMINSTER,MA,01453,WORCESTER,"(978) 466-2000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,,2,,7,5,1,4,0,,8,5,1,3,1,,11,8,0,6,2,,8,8,,12,11,
220002,"MOUNT AUBURN HOSPITAL","330 MOUNT AUBURN STREET",CAMBRIDGE,MA,02138,MIDDLESEX,"(617) 492-3500","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,7,1,6,0,,8,7,1,6,0,,11,11,0,9,2,,8,8,,12,11,
220008,"STURDY MEMORIAL HOSPITAL","211 PARK STREET",ATTLEBORO,MA,02703,BRISTOL,"(508) 222-5200","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,3,,7,6,0,6,0,,8,6,1,5,0,,11,9,0,8,1,,8,8,,12,10,
220010,"LAWRENCE GENERAL HOSPITAL","ONE GENERAL STREET",LAWRENCE,MA,01842,ESSEX,"(978) 683-4000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,6,0,6,0,,8,7,2,5,0,,11,8,0,8,0,,8,8,,12,11,
220011,"CAMBRIDGE HEALTH ALLIANCE","1493 CAMBRIDGE STREET",CAMBRIDGE,MA,02139,MIDDLESEX,"(617) 665-1000","Acute Care Hospitals","Government - Local",Yes,Y,4,,7,4,0,4,0,,8,6,1,5,0,,11,9,0,8,1,,8,8,,12,10,
220012,"CAPE COD HOSPITAL","27 PARK STREET",HYANNIS,MA,02601,BARNSTABLE,"(508) 771-1800","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,7,0,7,0,,8,7,0,7,0,,11,11,0,9,2,,8,8,,12,12,
220015,"COOLEY DICKINSON HOSPITAL INC,THE","30 LOCUST STREET",NORTHAMPTON,MA,01061,HAMPSHIRE,"(413) 582-2000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,3,,7,5,0,5,0,,8,7,0,7,0,,11,9,0,9,0,,8,8,,12,12,
220016,"BAYSTATE FRANKLIN MEDICAL CENTER","164 HIGH STREET",GREENFIELD,MA,01301,FRANKLIN,"(413) 773-0211","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,4,,7,4,0,4,0,,8,3,1,2,0,,11,8,0,8,0,,8,8,,12,10,
220017,"CARNEY HOSPITAL","2100 DORCHESTER AVENUE",BOSTON,MA,02124,SUFFOLK,"(617) 506-2000","Acute Care Hospitals",Proprietary,Yes,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
220019,"UMASS MEMORIAL HEALTH - HARRINGTON HOSPITAL","100 SOUTH STREET",SOUTHBRIDGE,MA,01550,WORCESTER,"(508) 765-9771","Acute Care Hospitals","Voluntary non-profit - Private",Yes,,2,,7,5,0,5,0,,8,3,1,2,0,,11,8,0,7,1,,8,8,,12,10,
