zip_code,nightlife,health,outdoor,nightlife_score,health_score,outdoor_score,overall_lifestyle_score
02108,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02109,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02110,A+,A+,A+,10.0,10.0,10.0,10.0
02111,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02113,A+,A,A,10.0,9.0,9.0,9.333333333333334
02114,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02115,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02116,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02118,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02119,A,B,A,9.0,6.5,9.0,8.166666666666666
02120,A+,A,A,10.0,9.0,9.0,9.333333333333334
02121,A,C+,A,9.0,5.0,9.0,7.666666666666667
02122,A,A-,A,9.0,8.5,9.0,8.833333333333334
02124,B+,B+,A,7.5,7.5,9.0,8.0
02125,A,B,A,9.0,6.5,9.0,8.166666666666666
02126,B-,B,A,6.0,6.5,9.0,7.166666666666667
02127,A+,A,A,10.0,9.0,9.0,9.333333333333334
02128,A,B,A,9.0,6.5,9.0,8.166666666666666
02129,A+,A,A,10.0,9.0,9.0,9.333333333333334
02130,A+,A,A,10.0,9.0,9.0,9.333333333333334
02131,A-,A-,A,8.5,8.5,9.0,8.666666666666666
02132,B,A,A,6.5,9.0,9.0,8.166666666666666
02133,-,-,-,,,,
02134,A+,A,A,10.0,9.0,9.0,9.333333333333334
02135,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02136,A-,B+,A,8.5,7.5,9.0,8.333333333333334
02150,A,B-,A,9.0,6.0,9.0,8.0
02151,A-,B,A,8.5,6.5,9.0,8.0
02152,B+,A-,A,7.5,8.5,9.0,8.333333333333334
02163,B+,A-,A+,7.5,8.5,10.0,8.666666666666666
02199,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02203,-,-,-,,,,
02210,A+,A+,A,10.0,10.0,9.0,9.666666666666666
02215,A+,A+,A,10.0,10.0,9.0,9.666666666666666
